# Date,Total Zooplankton Biomass
12/10/2009,56436.2383
19/10/2009,53151.00724
26/10/2009,54111.23406
09/11/2009,53889.47886
01/12/2009,46386.06095
09/12/2009,44746.62641
15/12/2009,47262.7012
21/12/2009,44340.21717
04/01/2010,45796.0989
11/01/2010,46462.77829
18/01/2010,43424.88055
26/01/2010,47203.46208
01/02/2010,43594.01182
08/02/2010,45941.95415
15/02/2010,48396.98122
25/02/2010,45678.77872
01/03/2010,50234.16583
08/03/2010,46385.88021
15/03/2010,62339.43122
23/03/2010,67671.11058
07/04/2010,83048.5935
12/04/2010,56562.84036
19/04/2010,54635.07136
26/04/2010,51095.59223
04/05/2010,47786.95777
10/05/2010,47711.52173
17/05/2010,56091.74266
24/05/2010,78121.37302
02/06/2010,72398.13822
07/06/2010,69746.13192
14/06/2010,94967.74113
21/06/2010,84575.34985
29/06/2010,73318.66312
05/07/2010,63998.84958
12/07/2010,64377.20607
19/07/2010,56687.74503
26/07/2010,84713.82104
03/08/2010,70825.42146
11/08/2010,63384.36229
16/08/2010,55671.29326
02/09/2010,54391.878
06/09/2010,60234.4481
13/09/2010,56635.97737
20/09/2010,49631.14986
27/09/2010,51707.35898
04/10/2010,58958.85418
13/10/2010,58331.75368
18/10/2010,62461.66861
25/10/2010,53036.54659
01/11/2010,54291.9546
10/11/2010,49596.61739
16/11/2010,49729.30476
22/11/2010,46529.51069
30/11/2010,45214.70443
06/12/2010,47130.68474
13/12/2010,47818.00854
21/12/2010,46610.24613
06/01/2011,45786.42526
17/01/2011,47561.13509
25/01/2011,44149.82416
25/01/2011,44686.53155
31/01/2011,45102.34736
08/02/2011,48570.11424
14/02/2011,45568.10572
22/02/2011,45920.68376
28/02/2011,47283.44999
07/03/2011,50289.30707
14/03/2011,61318.6356
22/03/2011,62797.87497
28/03/2011,84166.56055
06/04/2011,62258.71767
11/04/2011,67133.82174
18/04/2011,85551.82273
26/04/2011,47538.04722
11/05/2011,59504.54034
16/05/2011,52048.5011
24/05/2011,65889.88678
01/06/2011,50476.16695
06/06/2011,48335.04389
14/06/2011,48188.29265
20/06/2011,59655.98319
27/06/2011,52392.05269
04/07/2011,64332.77365
11/07/2011,51229.93193
19/07/2011,52063.54944
25/07/2011,57850.51679
01/08/2011,67357.71727
08/08/2011,72512.06588
15/08/2011,68894.40329
22/08/2011,61183.56288
30/08/2011,72340.2193
15/09/2011,67129.42573
19/09/2011,53100.20285
26/09/2011,62295.55653
03/10/2011,69229.59706
12/10/2011,51727.66622
17/10/2011,55135.01991
25/10/2011,54103.35644
08/11/2011,53543.96994
16/11/2011,58400.43112
21/11/2011,56330.6243
19/12/2011,45749.67294
09/01/2012,45309.84403
16/01/2012,43269.18992
23/01/2012,44373.41698
30/01/2012,43575.32576
07/02/2012,46729.22321
13/02/2012,43540.18396
20/02/2012,44062.06729
27/02/2012,44328.80166
06/03/2012,51803.01709
13/03/2012,60729.24136
19/03/2012,87968.72879
26/03/2012,64158.7361
02/04/2012,70908.11221
11/04/2012,62650.0541
16/04/2012,51621.90099
24/04/2012,51595.45663
01/05/2012,44502.50295
08/05/2012,53393.01113
14/05/2012,62212.53963
21/05/2012,56551.41975
28/05/2012,65914.18886
11/06/2012,72212.24362
18/06/2012,59063.83362
25/06/2012,51132.03686
02/07/2012,52294.77178
09/07/2012,62549.29362
23/07/2012,69086.99024
30/07/2012,51136.65106
06/08/2012,56366.93426
14/08/2012,50265.3965
20/08/2012,102591.8416
03/09/2012,49656.83193
10/09/2012,58750.25924
17/09/2012,52467.6004
26/09/2012,64077.86463
08/10/2012,51025.25176
15/10/2012,49608.15925
22/10/2012,55350.57519
30/10/2012,46510.87162
07/11/2012,51718.82985
14/11/2012,47942.01539
28/11/2012,48340.42102
05/12/2012,57838.91262
10/12/2012,51371.50459
18/12/2012,48996.04132
09/01/2013,44020.67393
14/01/2013,45209.67205
21/01/2013,45425.93537
07/02/2013,48755.15726
11/02/2013,44563.4591
19/02/2013,45306.61449
25/02/2013,45255.42426
06/03/2013,58925.18556
13/03/2013,54512.60146
19/03/2013,58242.14882
25/03/2013,72461.75318
03/04/2013,56362.20066
09/04/2013,54902.51782
17/04/2013,52804.58203
22/04/2013,58885.44862
29/04/2013,67927.32434
07/05/2013,54168.38721
15/05/2013,66263.20239
20/05/2013,57552.8723
29/05/2013,46211.97342
03/06/2013,42603.17593
10/06/2013,43436.52189
17/06/2013,42163.43622
24/06/2013,43255.59665
01/07/2013,47312.53444
08/07/2013,45092.83841
15/07/2013,53105.96624
22/07/2013,60092.08824
30/07/2013,62764.30318
06/08/2013,49744.12785
12/08/2013,58341.61274
19/08/2013,75131.04343
27/08/2013,80062.51857
02/09/2013,51566.14897
09/09/2013,57991.10574
23/09/2013,76558.59016
30/09/2013,57726.24315
07/10/2013,52572.18327
14/10/2013,50999.4872
30/10/2013,51422.98556
04/11/2013,47045.75437
11/11/2013,48512.3817
18/11/2013,46296.38643
25/11/2013,47377.14751
02/12/2013,48258.91902
09/12/2013,45295.48954
17/12/2013,45641.43142
14/01/2014,43865.05734
20/01/2014,42565.30423
29/01/2014,43429.01834
10/02/2014,42680.36918
18/02/2014,42289.0918
05/03/2014,42695.05823
11/03/2014,47267.40133
17/03/2014,59604.94733
25/03/2014,88472.35233
31/03/2014,53426.11449
09/04/2014,52527.79547
14/04/2014,47424.50734
22/04/2014,54740.43111
28/04/2014,51905.43339
06/05/2014,45110.88838
12/05/2014,49237.27348
19/05/2014,45009.77159
28/05/2014,52952.13466
02/06/2014,60853.19315
09/06/2014,53171.42446
16/06/2014,76831.40001
23/06/2014,56828.16978
30/06/2014,47593.20709
07/07/2014,52898.67204
14/07/2014,50811.16837
21/07/2014,55123.3627
28/07/2014,51127.31979
04/08/2014,54101.2347
18/08/2014,52469.61191
26/08/2014,62160.61472
01/09/2014,92107.86292
08/09/2014,55570.48152
15/09/2014,47536.64419
22/09/2014,60168.51387
29/09/2014,56154.49191
13/10/2014,50589.06354
22/10/2014,48264.48657
28/10/2014,53280.85407
05/11/2014,49912.55516
17/11/2014,47351.42267
24/11/2014,48973.41559
02/12/2014,57206.41238
08/12/2014,48386.70559
15/12/2014,49037.65805
05/01/2015,46345.35278
19/01/2015,44396.35985
27/01/2015,45870.35386
02/02/2015,45986.44637
09/02/2015,51523.74399
16/02/2015,45317.2242
10/03/2015,51143.39246
16/03/2015,52637.62817
23/03/2015,52559.61437
30/03/2015,81687.53218
07/04/2015,98704.09111
13/04/2015,73823.71874
20/04/2015,67618.18336
27/04/2015,51733.26706
07/05/2015,46663.41393
11/05/2015,45117.89512
27/05/2015,50073.34339
03/06/2015,51246.61451
08/06/2015,49643.27971
15/06/2015,69884.12293
22/06/2015,59235.93397
29/06/2015,58326.75999
06/07/2015,49668.36237
14/07/2015,47039.42215
20/07/2015,60894.7178
28/07/2015,56283.75756
03/08/2015,57147.12648
10/08/2015,56052.85821
17/08/2015,60463.24423
24/08/2015,60727.19585
01/09/2015,60773.11795
07/09/2015,50502.03985
16/09/2015,48904.68951
23/09/2015,53554.82803
29/09/2015,49528.84738
07/10/2015,54605.77244
13/10/2015,59071.91944
19/10/2015,67621.56661
27/10/2015,67526.05036
02/11/2015,62632.68196
16/11/2015,50975.26536
23/11/2015,47380.19089
07/12/2015,55278.05907
15/12/2015,46611.68385
05/01/2016,44301.11196
13/01/2016,46685.22802
19/01/2016,45884.07345
28/01/2016,43184.21516
02/02/2016,43718.29415
10/02/2016,47026.37813
15/02/2016,42994.40731
23/02/2016,43582.9121
29/02/2016,45247.84759
07/03/2016,52797.54454
14/03/2016,64377.10421
21/03/2016,93041.5317
30/03/2016,90695.51643
04/04/2016,96713.4703
11/04/2016,86093.50125
18/04/2016,63427.71262
25/04/2016,59650.61621
03/05/2016,69291.29503
10/05/2016,43315.47395
16/05/2016,44685.77096
23/05/2016,42769.71613
01/06/2016,43034.12174
08/06/2016,44402.85765
13/06/2016,43383.47047
20/06/2016,46337.84265
27/06/2016,53437.70065
04/07/2016,48807.77303
12/07/2016,50904.39378
18/07/2016,60335.62573
25/07/2016,58427.35046
01/08/2016,51585.55518
08/08/2016,52719.35832
15/08/2016,67223.83432
22/08/2016,73846.72989
01/09/2016,57142.94529
05/09/2016,60898.24848
13/09/2016,59032.97807
19/09/2016,50103.16959
28/09/2016,47819.05817
10/10/2016,50771.54969
19/10/2016,48343.39646
24/10/2016,46495.38369
01/11/2016,50412.30536
07/11/2016,46267.38532
14/11/2016,47226.34717
23/11/2016,47566.44627
28/11/2016,49723.60183
05/12/2016,47809.16023
12/12/2016,49853.10869
19/12/2016,49351.24039
03/01/2017,44076.74057
10/01/2017,45235.86776
16/01/2017,44253.97014
23/01/2017,43603.35767
30/01/2017,44351.92781
06/02/2017,44549.6798
14/02/2017,44890.49021
20/02/2017,46191.91322
01/03/2017,45223.46411
14/03/2017,49380.00096
22/03/2017,80796.2249
27/03/2017,66492.72642
03/04/2017,74494.33389
10/04/2017,61817.5919
18/04/2017,57576.76726
24/04/2017,57566.56784
02/05/2017,77880.6386
08/05/2017,64681.5362
17/05/2017,77575.70472
22/05/2017,60330.701
31/05/2017,59160.34554
12/06/2017,56345.20642
19/06/2017,51384.38743
26/06/2017,61826.25729
03/07/2017,51509.61125
17/07/2017,58382.57325
24/07/2017,74367.53158
31/07/2017,64171.88161
07/08/2017,89046.18519
14/08/2017,64046.81707
21/08/2017,88626.00187
29/08/2017,55173.9256
04/09/2017,60288.9521
18/09/2017,52756.05475
20/09/2017,60414.34554
25/09/2017,62300.93998
03/10/2017,59025.98094
25/10/2017,67354.20101
30/10/2017,70367.40961
06/11/2017,64470.00187
13/11/2017,54348.24316
21/11/2017,47943.38379
28/11/2017,49264.82695
04/12/2017,48675.4063
12/12/2017,49843.03198
09/01/2018,46218.82526
22/01/2018,47866.55626
30/01/2018,47471.39153
05/02/2018,50049.60768
12/02/2018,53185.76485
19/02/2018,51530.4523
28/02/2018,47385.87141
05/03/2018,50879.53185
13/03/2018,53814.75605
20/03/2018,60531.88141
26/03/2018,49446.46459
05/04/2018,77851.53202
10/04/2018,71049.58521
19/04/2018,69006.78459
23/04/2018,67545.47713
30/04/2018,101294.9576
08/05/2018,61051.22651
14/05/2018,54774.38075
21/05/2018,45989.97469
30/05/2018,44374.21979
04/06/2018,44132.13792
11/06/2018,45960.15204
18/06/2018,49547.46592
25/06/2018,46946.14011
02/07/2018,49617.53452
09/07/2018,60543.08102
16/07/2018,67519.68768
23/07/2018,57154.93221
30/07/2018,49612.14133
06/08/2018,53887.31837
13/08/2018,63224.5165
20/08/2018,58307.34493
28/08/2018,50138.16518
03/09/2018,48965.13577
10/09/2018,65345.72211
17/09/2018,50947.36072
24/09/2018,54626.92862
01/10/2018,53786.65595
08/10/2018,64292.11773
17/10/2018,60884.23602
22/10/2018,54932.74805
29/10/2018,53583.5191
05/11/2018,56171.85258
13/11/2018,51295.38512
20/11/2018,52924.48299
26/11/2018,64889.45758
04/12/2018,52497.1286
10/12/2018,46719.27566
17/12/2018,50622.34792
07/01/2019,48934.85993
14/01/2019,50100.46363
23/01/2019,47107.49132
28/01/2019,46365.07874
06/02/2019,50954.95278
11/02/2019,48162.43765
18/02/2019,49341.53781
25/02/2019,54354.25281
08/03/2019,53831.42475
11/03/2019,50751.11563
18/03/2019,56613.03426
25/03/2019,48596.51507
01/04/2019,60253.37675
09/04/2019,56870.15546
16/04/2019,51209.58743
23/04/2019,47226.30405
29/04/2019,52041.78988
07/05/2019,60135.84102
13/05/2019,53531.3502
20/05/2019,46234.49011
30/05/2019,47951.74556
03/06/2019,47824.53403
10/06/2019,54195.23569
17/06/2019,49125.72211
24/06/2019,77743.93032
01/07/2019,58425.23421
08/07/2019,61326.08705
15/07/2019,60556.59424
22/07/2019,83893.55177
29/07/2019,73139.95853
05/08/2019,68897.37608
12/08/2019,61422.6527
19/08/2019,72157.54143
27/08/2019,65810.39639
02/09/2019,53949.22435
09/09/2019,56904.17988
16/09/2019,48065.7538
02/10/2019,49823.24894
21/10/2019,52125.42193
05/11/2019,49218.32322
11/11/2019,49811.89835
18/11/2019,52137.54283
25/11/2019,47349.80407
02/12/2019,50214.81985
17/12/2019,47030.96208
08/01/2020,46862.90727
20/01/2020,45516.8717
29/01/2020,46335.06286
05/02/2020,45449.36388
27/02/2020,45555.84894
02/03/2020,47257.3895
16/03/2020,50486.45947
23/03/2020,53769.6446
01/04/2020,60344.21472
07/04/2020,62299.26649
14/04/2020,65821.10159
23/04/2020,53694.30053
27/04/2020,52237.58206
04/05/2020,58553.51445
12/05/2020,52144.2899
18/05/2020,50162.12009
27/05/2020,52608.69792
01/06/2020,48014.37698
08/06/2020,55613.17914
15/06/2020,56266.5149
23/06/2020,63044.99725
01/07/2020,53477.92778
07/07/2020,52335.78293
14/07/2020,49809.91342
20/07/2020,55744.86149
28/07/2020,53436.41533
03/08/2020,71201.67532
10/08/2020,54213.5949
17/08/2020,58891.84959
24/08/2020,60150.97884
01/09/2020,51447.46146
07/09/2020,60882.59236
14/09/2020,61623.50772
21/09/2020,57966.74678
28/09/2020,52715.84351
12/10/2020,56102.90486
04/11/2020,47112.32769
09/11/2020,46701.0837
23/11/2020,49709.12692
30/11/2020,50703.51918
07/12/2020,56716.26632
,
